"plot","pot","volume","ID","campaign","CO2","CO2R","Photo","Cond","Ci","Tleaf","VpdL","Area","Trmmol","Date"
1,1,10,"1-1",1,400,400.1932983,8.370920192,0.155387134,287.6617651,26.63937378,1.35669307,6,1.918802099,2013-03-07
1,1,10,"1-1",1,400,400.0736389,8.251463909,0.15525272,288.9382169,26.64453125,1.357456567,6,1.91839202,2013-03-07
1,1,10,"1-1",1,1600,1599.998047,19.40735628,0.121608074,1269.179895,26.70409966,1.346019354,6,1.522813628,2013-03-07
1,1,10,"1-1",1,400,400.0939636,8.381996594,0.154956281,287.1944256,26.63418579,1.35664398,6,1.91391038,2013-03-07
1,1,10,"1-1",1,400,400.1680298,8.430559297,0.155222535,286.8122838,26.63739777,1.356880451,6,1.917221192,2013-03-07
1,1,10,"1-1",1,400,400.1902466,8.425787238,0.155357755,286.9677851,26.63699341,1.356634036,6,1.91838577,2013-03-07
1,1,10,"1-1",1,1600,1599.6073,19.14183495,0.122273198,1274.189868,26.69839859,1.344889326,6,1.52920571,2013-03-07
1,1,10,"1-1",1,1600,1599.733765,19.24688979,0.122159194,1272.530769,26.69224358,1.343662821,6,1.526490462,2013-03-07
1,1,10,"1-1",1,1600,1599.869019,19.29257038,0.122004164,1271.641127,26.6961441,1.344366274,6,1.525510223,2013-03-07
1,1,10,"1-1",1,1600,1599.931274,19.3613389,0.121710845,1270.038893,26.70035934,1.34533662,6,1.523234788,2013-03-07
1,1,10,"1-1",2,400,399.7703857,14.52645064,0.303948596,289.9547389,24.99162483,1.354292484,6,3.732516517,2013-03-22
1,1,10,"1-1",2,400,399.759552,14.53456098,0.303954855,289.8925023,24.98958206,1.353987351,6,3.731741326,2013-03-22
1,1,10,"1-1",2,400,399.7492676,14.52779751,0.304036954,289.950105,24.98929787,1.353807811,6,3.73216134,2013-03-22
1,1,10,"1-1",2,1600,1598.70166,18.11475944,0.255177129,1414.303914,25.21082497,1.434082743,6,3.370812541,2013-03-22
1,1,10,"1-1",2,1600,1598.70166,18.11475944,0.255177129,1414.303914,25.21082497,1.434082743,6,3.370812541,2013-03-22
1,1,10,"1-1",2,400,399.7731934,14.51829629,0.303965656,290.0169786,24.99256134,1.354437143,6,3.733107834,2013-03-22
1,1,10,"1-1",2,400,399.7399902,14.49172325,0.304306277,290.2574161,24.98799515,1.353364228,6,3.733935227,2013-03-22
1,1,10,"1-1",2,1600,1598.718994,18.12349834,0.255279484,1414.298293,25.2104702,1.433929941,6,3.371692814,2013-03-22
1,1,10,"1-1",2,1600,1598.680176,18.11467173,0.254983029,1414.179688,25.21481323,1.434907736,6,3.370400702,2013-03-22
1,1,10,"1-1",2,1600,1598.688354,18.11587789,0.254797637,1414.079418,25.21875763,1.435684333,6,3.369995793,2013-03-22
1,1,10,"1-1",3,1600,1600.386597,19.2400959,0.428026355,1467.420821,24.59745598,0.924953672,6,3.458438574,2013-04-08
1,1,10,"1-1",3,1600,1600.386597,19.2400959,0.428026355,1467.420821,24.59745598,0.924953672,6,3.458438574,2013-04-08
1,1,10,"1-1",3,1600,1600.385864,19.47814366,0.428558021,1466.229064,24.59827805,0.924821644,6,3.461675293,2013-04-08
1,1,10,"1-1",3,400,398.9870911,17.14406468,0.484709833,307.3768777,24.46815872,0.851317739,6,3.54376779,2013-04-08
1,1,10,"1-1",3,1600,1600.364868,19.373059,0.426220949,1466.369913,24.59711456,0.926056718,6,3.449832372,2013-04-08
1,1,10,"1-1",3,1600,1600.396118,18.85310392,0.422947013,1468.636654,24.59778214,0.927999519,6,3.433934444,2013-04-08
1,1,10,"1-1",3,400,398.9819336,17.37237444,0.483894127,306.1553887,24.46237564,0.850938213,6,3.537037495,2013-04-08
1,1,10,"1-1",3,400,398.9902954,17.40469749,0.483573271,305.963245,24.46356773,0.851280743,6,3.536474115,2013-04-08
1,1,10,"1-1",3,400,398.9902954,17.40469749,0.483573271,305.963245,24.46356773,0.851280743,6,3.536474115,2013-04-08
1,1,10,"1-1",3,400,398.9902954,17.40469749,0.483573271,305.963245,24.46356773,0.851280743,6,3.536474115,2013-04-08
