"ID","plot","pot","total_length_cm","surfacearea_cm2","volume","rootlengthdensity"
"1-1",1,1,438.3912,32.7245,"10",43.83912
"1-2",1,2,297.544,37.5382,"15",19.8362666666667
"1-4",1,4,771.6045,56.5657,"20",38.580225
"1-5",1,5,603.0237,44.3759,"1000",0.6030237
"1-6",1,6,660.8578,46.0644,"25",26.434312
"1-7",1,7,774.6579,57.8732,"35",22.1330828571429
"1-8",1,8,673.1375,46.7518,"5",134.6275
"2-1",2,1,651.1828,40.6507,"20",32.55914
"2-2",2,2,582.2013,41.4491,"15",38.81342
"2-3",2,3,446.7612,36.7615,"1000",0.4467612
"2-4",2,4,575.6995,37.0199,"25",23.02798
"2-6",2,6,541.546,40.2743,"5",108.3092
"2-7",2,7,461.3735,34.6527,"35",13.1821
"2-8",2,8,512.8434,38.396,"10",51.28434
"3-1",3,1,636.0926,45.5878,"5",127.21852
"3-2",3,2,371.014,24.7103,"1000",0.371014
"3-3",3,3,597.0006,40.6744,"25",23.880024
"3-4",3,4,547.721,45.7657,"20",27.38605
"3-5",3,5,494.3807,33.804,"35",14.1251628571429
"3-6",3,6,564.2423,35.6701,"10",56.42423
"3-7",3,7,567.6167,34.8001,"15",37.8411133333333
"4-1",4,1,637.1087,48.8455,"25",25.484348
"4-2",4,2,721.8757,43.8374,"10",72.18757
"4-4",4,4,571.2751,41.8402,"35",16.3221457142857
"4-5",4,5,612.7799,46.3712,"5",122.55598
"4-6",4,6,723.0397,52.8612,"15",48.2026466666667
"4-7",4,7,541.1721,32.6468,"20",27.058605
"4-8",4,8,513.044,43.1798,"1000",0.513044
"5-2",5,2,597.9034,38.459,"25",23.916136
"5-3",5,3,718.3172,48.406,"10",71.83172
"5-4",5,4,506.5009,43.2502,"15",33.7667266666667
"5-5",5,5,461.0957,34.2889,"20",23.054785
"5-6",5,6,338.7691,28.8702,"1000",0.3387691
"5-7",5,7,535.7921,49.7748,"35",15.3083457142857
"6-1",6,1,438.1995,29.9588,"35",12.5199857142857
"6-3",6,3,319.5037,27.0285,"5",63.90074
"6-4",6,4,673.2308,38.9792,"20",33.66154
"6-5",6,5,674.461,46.6638,"10",67.4461
"6-6",6,6,484.4907,31.8184,"15",32.29938
"6-7",6,7,474.0728,30.6938,"25",18.962912
"6-8",6,8,522.4253,39.2394,"1000",0.5224253
"7-1",7,1,506.2031,33.0412,"15",33.7468733333333
"7-2",7,2,411.5788,24.6875,"1000",0.4115788
"7-3",7,3,506.2092,31.7594,"25",20.248368
"7-4",7,4,334.9148,21.9965,"10",33.49148
"7-5",7,5,622.7445,39.1662,"20",31.137225
"7-6",7,6,438.2465,30.0704,"5",87.6493
