"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"1",1,2,"1-2",6,0.19,15,2013-05-17,-0.554327698,0.008230128,507.3833072,13.42706001,14.83,0.041950082,-2.9175142
"2",1,2,"1-2",6,0.19,15,2013-05-17,-0.536595853,0.008426612,501.5310705,13.42687316,14.83,0.042952582,-2.8241887
"3",1,2,"1-2",6,0.19,15,2013-05-17,-0.53219595,0.008547085,499.2438591,13.4271048,14.83,0.043588312,-2.80103131578947
"4",1,2,"1-2",6,0.19,15,2013-05-17,-0.552205589,0.008782302,500.2992508,13.42616114,14.83,0.044771148,-2.90634520526316
"5",1,2,"1-2",6,0.19,15,2013-05-17,-0.560919927,0.008980085,499.592615,13.41997564,14.83,0.045734426,-2.95221014210526
"6",1,4,"1-4",6,0.21,20,2013-05-17,-0.252206777,0.002119855,587.4445215,12.98599174,19.25,0.011881461,-1.20098465238095
"7",1,4,"1-4",6,0.21,20,2013-05-17,-0.249957919,0.002159245,582.3424599,12.97846799,19.25,0.012087519,-1.1902758047619
"8",1,4,"1-4",6,0.21,20,2013-05-17,-0.244126664,0.002209669,573.906444,12.96676527,19.25,0.01234673,-1.16250792380952
"9",1,4,"1-4",6,0.21,20,2013-05-17,-0.253326186,0.002249723,577.3599251,12.96103459,19.25,0.012562243,-1.20631517142857
"10",1,4,"1-4",6,0.21,20,2013-05-17,-0.238752589,0.002269672,565.5340623,12.95985505,19.25,0.012673869,-1.13691709047619
"11",1,5,"1-5",6,0.39,1000,2013-05-17,-0.539271688,0.018362431,451.1199199,13.05051926,34.06,0.083614388,-1.38274791794872
"12",1,5,"1-5",6,0.39,1000,2013-05-17,-0.539873876,0.018463761,450.8523663,13.04436921,34.06,0.083939269,-1.38429198974359
"13",1,5,"1-5",6,0.39,1000,2013-05-17,-0.541160733,0.018554167,450.7509958,13.04312704,34.06,0.084291975,-1.38759162307692
"14",1,5,"1-5",6,0.39,1000,2013-05-17,-0.546989062,0.018591253,451.2182849,13.04291784,34.06,0.084471317,-1.40253605641026
"15",1,5,"1-5",6,0.39,1000,2013-05-17,-0.545244189,0.018662405,450.8881878,13.04313679,34.06,0.08481329,-1.39806202307692
"16",1,6,"1-6",6,0.15,25,2013-05-17,-0.10593167,0.001862239,487.6256924,12.97255172,12.28,0.010853747,-0.706211133333333
"17",1,6,"1-6",6,0.15,25,2013-05-17,-0.111696691,0.001818944,494.8737246,12.97334444,12.28,0.010607041,-0.744644606666667
