"gs","D","A","Ca","ID","gBBOpti"
0.801319799,1.071397431,26.74714806,399.6008911,"1-5",0.581931718425751
0.802094502,1.070410517,26.36233826,399.0653687,"1-5",0.577134343618526
0.802381637,1.070493176,26.28680075,398.8090515,"1-5",0.576297030443298
0.802686004,1.070142205,26.85382656,399.311676,"1-5",0.583866339141391
0.802580324,1.069444435,26.76007328,399.2807617,"1-5",0.582662072183075
0.701870609,1.088518242,41.40609246,1599.638306,"1-5",0.35014855290883
0.701799197,1.088300253,41.30906645,1599.538696,"1-5",0.349828545144548
0.702185619,1.087484837,41.18759711,1599.391724,"1-5",0.349455466250622
0.701684102,1.087471055,41.14884608,1599.290771,"1-5",0.349329613026568
0.701447445,1.087027909,41.09246953,1599.311279,"1-5",0.349151417196838
0.154956281,1.35664398,8.381996594,400.0939636,"1-1",0.313817300717531
0.155222535,1.356880451,8.430559297,400.1680298,"1-1",0.314419043557728
0.155357755,1.356634036,8.425787238,400.1902466,"1-1",0.314358086419268
0.155387134,1.35669307,8.370920192,400.1932983,"1-1",0.313645702749222
0.15525272,1.357456567,8.251463909,400.0736389,"1-1",0.312111259071065
0.122273198,1.344889326,19.14183495,1599.6073,"1-1",0.26748677822385
0.122159194,1.343662821,19.24688979,1599.733765,"1-1",0.267842664228234
0.122004164,1.344366274,19.29257038,1599.869019,"1-1",0.267974375895707
0.121710845,1.34533662,19.3613389,1599.931274,"1-1",0.268179515220841
0.121608074,1.346019354,19.40735628,1599.998047,"1-1",0.268315195904004
0.415624157,1.251704511,14.51677257,398.5210571,"1-2",0.399309735490749
0.415777757,1.25202643,14.39532203,398.3857727,"1-2",0.397734922482904
0.416074888,1.252093297,14.30544221,398.2711487,"1-2",0.396585100470241
0.416075667,1.252388708,14.28606488,398.2120361,"1-2",0.39633863744372
0.416117803,1.2527428,14.31085444,398.2142944,"1-2",0.396650069566986
0.331858237,1.403936367,25.88243963,1600.930542,"1-2",0.288068146028083
0.33163445,1.404391629,25.75795455,1600.841553,"1-2",0.287665638180635
0.331692557,1.404573062,25.56531084,1600.697144,"1-2",0.287053639908561
0.331782139,1.404396964,25.43497264,1600.577637,"1-2",0.286646597677512
0.331867844,1.404525915,25.43974326,1600.634277,"1-2",0.286656404733561
0.200553827,1.752539943,12.65395979,399.0621338,"1-8",0.355894972132152
0.200512725,1.752502921,12.72373923,399.1526489,"1-8",0.356691948953212
0.200523554,1.752807567,12.77669523,399.2067261,"1-8",0.357292544919162
0.200500504,1.753544347,12.80561484,399.2546387,"1-8",0.357597003194863
0.200454858,1.754172251,12.84128931,399.3128052,"1-8",0.357980821990931
0.094820068,2.041772477,23.6240015,1600.324707,"1-8",0.272010454495143
0.094830969,2.042107827,23.67147113,1600.4104,"1-8",0.272137309210547
0.094708498,2.042195645,23.72233001,1600.480591,"1-8",0.272276968270912
0.094680048,2.041158283,23.65615232,1600.415283,"1-8",0.272103901312649
0.094656782,2.039847003,23.34489429,1600.196655,"1-8",0.271248076116897
0.081312937,2.074602595,8.555147139,400.806427,"1-6",0.301248038574584
0.08134573,2.073794093,8.568241604,400.8547363,"1-6",0.301395319202216
0.081372217,2.073217152,8.616164022,400.9062805,"1-6",0.301928815374239
0.081327305,2.073027653,8.62231549,400.9482422,"1-6",0.301990505867728
0.081412596,2.072714464,8.604118225,400.9665833,"1-6",0.301786798835995
0.042961008,2.141838653,21.4948722,1598.82373,"1-6",0.265131403370356
0.042929195,2.142199366,21.57530595,1598.906372,"1-6",0.265348819712193
0.042917137,2.141804824,21.83899096,1599.262451,"1-6",0.266072327699756
0.042768904,2.141534765,21.94365761,1599.470581,"1-6",0.266357937319381
0.042668904,2.141052498,21.89013713,1599.514404,"1-6",0.266211826797669
0.621152954,1.202934823,23.40030545,399.5328979,"1-7",0.521598621337108
0.621410488,1.201837538,23.53758992,399.6447449,"1-7",0.52346717358116
0.622321999,1.199387869,23.66021529,399.8604736,"1-7",0.52518163070944
0.622179834,1.198470184,23.70446437,399.9320068,"1-7",0.525808824464237
0.621594519,1.198284858,23.75727041,400.0652466,"1-7",0.526433247475022
0.483800302,1.266380193,39.25271186,1599.181152,"1-7",0.335510879534913
0.483716559,1.265624149,39.30598374,1599.236694,"1-7",0.335710202111135
0.483041115,1.266274127,39.38862567,1599.331421,"1-7",0.335953160560487
0.482891645,1.266483885,39.39075487,1599.328247,"1-7",0.335952926353956
0.482356416,1.266739101,39.41997821,1599.377319,"1-7",0.336036623020774
0.141985467,1.677843808,8.649746688,399.6245728,"1-4",0.309607595661612
0.141969328,1.678204545,8.646296395,399.5981445,"1-4",0.309565413721233
0.141593295,1.678536775,8.572616233,399.5128784,"1-4",0.308692438367935
0.141663448,1.677752762,8.588991189,399.4848633,"1-4",0.308913283663164
0.14157957,1.677804637,8.630868524,399.5142822,"1-4",0.309409555950388
0.121321682,1.716927589,20.39308598,1599.353271,"1-4",0.266292576948513
0.121362892,1.716519594,20.24317266,1599.17041,"1-4",0.265856178292027
0.121340252,1.715798141,20.25057646,1599.142578,"1-4",0.265887834675941
0.121087035,1.715470572,20.42410923,1599.276855,"1-4",0.266405470706465
0.121037365,1.71657194,20.48892009,1599.364746,"1-4",0.266582813621957
0.346145137,1.331648104,19.60429012,399.7972717,"4-1",0.460885404000195
0.345987212,1.331865218,19.58550922,399.7870789,"4-1",0.460632675556157
0.345678121,1.333051053,19.5530457,399.8004456,"4-1",0.460122421080486
0.345204887,1.334956369,19.44843569,399.6997375,"4-1",0.45869776867837
0.344895954,1.335976621,19.37266791,399.6134949,"4-1",0.457698399031698
0.239070492,1.528046327,29.64048188,1599.844482,"4-1",0.297442427685798
0.239284327,1.527589332,29.56084142,1599.729248,"4-1",0.297210883946608
0.239313972,1.528267919,29.51469071,1599.602051,"4-1",0.297060927972092
0.239368536,1.52851559,29.51070871,1599.479858,"4-1",0.29705051987115
0.239570505,1.528095175,29.49273167,1599.411987,"4-1",0.297007089821511
0.16913655,1.616946641,11.88063584,400.237793,"4-5",0.350117917342852
0.16909984,1.617080684,11.83320226,400.2816772,"4-5",0.349520048997742
0.169048226,1.617595203,11.67386272,400.1659546,"4-5",0.34760447372449
0.169092602,1.618118441,11.52653598,400.0422668,"4-5",0.345837181392037
0.169572306,1.615419628,11.42940727,399.8921509,"4-5",0.344783730288155
0.052666078,1.805910824,22.01714645,1599.578003,"4-5",0.270045584655159
0.052907082,1.806884834,21.93719331,1599.397827,"4-5",0.26980639541052
0.053097132,1.806609278,21.9379074,1599.401855,"4-5",0.269811574707555
0.053066087,1.807701868,21.91329816,1599.400513,"4-5",0.269726462159265
0.053078994,1.808261336,21.91935605,1599.493896,"4-5",0.269733930643918
0.238173782,1.443103061,13.18893877,399.1796265,"4-2",0.372824429293881
0.23774417,1.44432612,13.24949317,399.2868652,"4-2",0.373499476874232
0.237935989,1.44385353,13.24152911,399.3410645,"4-2",0.373394403402711
0.237965585,1.444195352,13.21694756,399.3697815,"4-2",0.373056773748788
0.237958592,1.444977997,13.19142921,399.3760681,"4-2",0.372699290465709
0.116599766,1.710237859,22.26989149,1600.371582,"4-2",0.271946611158878
0.116459881,1.711772048,22.05958508,1600.184692,"4-2",0.271305587312943
0.116157313,1.713415072,22.01471841,1600.045044,"4-2",0.271156140634385
0.116012757,1.71382402,22.04351322,1600.016113,"4-2",0.271238189939827
0.116025246,1.713007013,22.20197506,1600.239624,"4-2",0.271713193751753
0.759566575,1.541422107,22.63894763,399.8644104,"4-6",0.485971779926536
0.759613831,1.540767685,22.62574168,399.7506409,"4-6",0.485928243879506
0.759673956,1.540509043,22.77927906,399.8377075,"4-6",0.487786872726154
0.759861315,1.540189013,23.0146302,400.055542,"4-6",0.49056978112142
0.761043894,1.539020906,23.28796646,400.3815002,"4-6",0.493796534444809
0.264188369,1.919947685,31.45798337,1599.335327,"4-6",0.295967409057469
0.263853622,1.920218783,31.44319785,1599.323608,"4-6",0.295921301001501
0.263659693,1.919294465,31.45428764,1599.335815,"4-6",0.295966799277905
0.263697321,1.91767964,31.52965073,1599.429199,"4-6",0.296203605075754
0.263766815,1.915767017,31.53159155,1599.47876,"4-6",0.296235990824195
