"pot","plot","ID","Date","height","volume"
1,1,"1-1",2013-01-21,48,"10"
1,1,"1-1",2013-04-29,74.6,"10"
1,1,"1-1",2013-04-08,74.7,"10"
1,1,"1-1",2013-02-25,67.3,"10"
1,1,"1-1",2013-03-11,70.5,"10"
1,1,"1-1",2013-05-13,74.6,"10"
1,1,"1-1",2013-04-02,73.7,"10"
1,1,"1-1",2013-04-15,74.2,"10"
1,1,"1-1",2013-03-04,69.1,"10"
1,1,"1-1",2013-05-06,74.6,"10"
1,1,"1-1",2013-01-29,49.1,"10"
1,1,"1-1",2013-04-22,74.7,"10"
1,1,"1-1",2013-03-18,72.4,"10"
1,1,"1-1",2013-02-11,60.5,"10"
1,1,"1-1",2013-05-21,75.6,"10"
1,1,"1-1",2013-02-03,52.7,"10"
1,1,"1-1",2013-03-25,73.6,"10"
1,1,"1-1",2013-02-18,64.8,"10"
1,2,"2-1",2013-05-13,81.4,"20"
1,2,"2-1",2013-03-25,80.5,"20"
1,2,"2-1",2013-04-22,81.5,"20"
1,2,"2-1",2013-05-06,81.4,"20"
1,2,"2-1",2013-04-08,82,"20"
1,2,"2-1",2013-04-15,81.2,"20"
1,2,"2-1",2013-04-29,81.4,"20"
1,2,"2-1",2013-03-18,79.7,"20"
1,2,"2-1",2013-02-03,48.5,"20"
1,2,"2-1",2013-01-29,47.9,"20"
1,2,"2-1",2013-02-25,70.5,"20"
1,2,"2-1",2013-04-02,79,"20"
1,2,"2-1",2013-01-21,49.1,"20"
1,2,"2-1",2013-02-11,51.5,"20"
1,2,"2-1",2013-02-18,61.1,"20"
1,2,"2-1",2013-03-04,74.3,"20"
1,2,"2-1",2013-05-21,81.4,"20"
1,2,"2-1",2013-03-11,77.5,"20"
1,3,"3-1",2013-02-18,49,"5"
1,3,"3-1",2013-02-25,53.2,"5"
1,3,"3-1",2013-04-29,56.6,"5"
1,3,"3-1",2013-03-04,51,"5"
1,3,"3-1",2013-03-11,50.6,"5"
1,3,"3-1",2013-03-18,57.2,"5"
1,3,"3-1",2013-05-13,57,"5"
1,3,"3-1",2013-05-21,57,"5"
1,3,"3-1",2013-05-06,57.4,"5"
1,3,"3-1",2013-04-02,56.7,"5"
1,3,"3-1",2013-02-11,43.9,"5"
1,3,"3-1",2013-04-08,57.1,"5"
1,3,"3-1",2013-03-25,56.1,"5"
1,3,"3-1",2013-02-03,42.1,"5"
1,3,"3-1",2013-04-22,57,"5"
1,3,"3-1",2013-04-15,56.7,"5"
1,3,"3-1",2013-01-29,41.4,"5"
1,3,"3-1",2013-01-21,40.1,"5"
1,4,"4-1",2013-05-21,78.7,"25"
1,4,"4-1",2013-02-18,50.6,"25"
1,4,"4-1",2013-03-18,73.7,"25"
1,4,"4-1",2013-02-25,58.2,"25"
1,4,"4-1",2013-02-11,45.4,"25"
1,4,"4-1",2013-02-03,40.4,"25"
1,4,"4-1",2013-04-02,79.1,"25"
1,4,"4-1",2013-04-08,79.6,"25"
1,4,"4-1",2013-03-11,70.6,"25"
1,4,"4-1",2013-03-04,65.2,"25"
1,4,"4-1",2013-04-15,81.3,"25"
1,4,"4-1",2013-01-29,38.8,"25"
1,4,"4-1",2013-01-21,37.2,"25"
1,4,"4-1",2013-04-22,78.2,"25"
1,4,"4-1",2013-04-29,78.3,"25"
1,4,"4-1",2013-05-06,78.3,"25"
1,4,"4-1",2013-03-25,77.8,"25"
1,4,"4-1",2013-05-13,82.1,"25"
1,6,"6-1",2013-03-18,95.2,"35"
1,6,"6-1",2013-01-21,48.2,"35"
1,6,"6-1",2013-04-29,107.1,"35"
1,6,"6-1",2013-05-06,107.5,"35"
1,6,"6-1",2013-02-03,54.3,"35"
1,6,"6-1",2013-04-22,106.8,"35"
1,6,"6-1",2013-01-29,49.1,"35"
1,6,"6-1",2013-02-18,68.1,"35"
1,6,"6-1",2013-04-02,102.1,"35"
1,6,"6-1",2013-02-25,78.3,"35"
1,6,"6-1",2013-04-08,104.5,"35"
1,6,"6-1",2013-04-15,107,"35"
1,6,"6-1",2013-03-25,98.7,"35"
1,6,"6-1",2013-03-04,86.5,"35"
1,6,"6-1",2013-02-11,61.3,"35"
1,6,"6-1",2013-05-13,106.5,"35"
1,6,"6-1",2013-03-11,90.8,"35"
1,6,"6-1",2013-05-21,107.3,"35"
1,7,"7-1",2013-04-02,73,"15"
1,7,"7-1",2013-05-06,71.5,"15"
1,7,"7-1",2013-03-11,67.1,"15"
1,7,"7-1",2013-04-08,72.4,"15"
1,7,"7-1",2013-03-04,65.2,"15"
1,7,"7-1",2013-03-25,70,"15"
1,7,"7-1",2013-04-22,72.5,"15"
1,7,"7-1",2013-02-25,62.9,"15"
1,7,"7-1",2013-03-18,68.8,"15"
1,7,"7-1",2013-02-03,47.5,"15"
1,7,"7-1",2013-02-18,56.4,"15"
1,7,"7-1",2013-04-29,72.5,"15"
1,7,"7-1",2013-01-21,42.5,"15"
1,7,"7-1",2013-01-29,43.9,"15"
1,7,"7-1",2013-05-13,71.7,"15"
1,7,"7-1",2013-04-15,72.6,"15"
1,7,"7-1",2013-02-11,53.2,"15"
1,7,"7-1",2013-05-21,71.7,"15"
2,1,"1-2",2013-04-02,73,"15"
2,1,"1-2",2013-04-29,75.1,"15"
2,1,"1-2",2013-02-25,59.7,"15"
2,1,"1-2",2013-03-18,67.5,"15"
2,1,"1-2",2013-03-04,62.4,"15"
2,1,"1-2",2013-05-06,74.9,"15"
2,1,"1-2",2013-04-22,75,"15"
2,1,"1-2",2013-04-08,74.3,"15"
2,1,"1-2",2013-04-15,74.3,"15"
2,1,"1-2",2013-03-11,66.4,"15"
2,1,"1-2",2013-01-29,43.8,"15"
2,1,"1-2",2013-02-03,44.3,"15"
2,1,"1-2",2013-02-11,50.4,"15"
2,1,"1-2",2013-03-25,70.5,"15"
2,1,"1-2",2013-05-21,75,"15"
2,1,"1-2",2013-01-21,43.4,"15"
2,1,"1-2",2013-02-18,54.2,"15"
2,1,"1-2",2013-05-13,75,"15"
2,2,"2-2",2013-03-18,69.5,"15"
2,2,"2-2",2013-03-25,70.1,"15"
2,2,"2-2",2013-04-02,70.2,"15"
2,2,"2-2",2013-02-03,51.5,"15"
2,2,"2-2",2013-04-08,69.8,"15"
2,2,"2-2",2013-04-15,69.8,"15"
2,2,"2-2",2013-04-22,70,"15"
2,2,"2-2",2013-01-21,46.7,"15"
2,2,"2-2",2013-01-29,49.2,"15"
2,2,"2-2",2013-02-18,60.1,"15"
2,2,"2-2",2013-05-06,70,"15"
2,2,"2-2",2013-02-25,64.6,"15"
2,2,"2-2",2013-02-11,58,"15"
2,2,"2-2",2013-04-29,70,"15"
2,2,"2-2",2013-03-11,68.5,"15"
2,2,"2-2",2013-05-21,70,"15"
2,2,"2-2",2013-05-13,70,"15"
2,2,"2-2",2013-03-04,66,"15"
2,3,"3-2",2013-04-29,106.2,"1000"
2,3,"3-2",2013-02-11,47.2,"1000"
2,3,"3-2",2013-05-13,109.6,"1000"
2,3,"3-2",2013-03-11,73,"1000"
2,3,"3-2",2013-02-03,45,"1000"
2,3,"3-2",2013-02-25,58.8,"1000"
2,3,"3-2",2013-05-21,110.5,"1000"
2,3,"3-2",2013-03-04,65.5,"1000"
2,3,"3-2",2013-01-29,44.3,"1000"
2,3,"3-2",2013-04-22,102.4,"1000"
2,3,"3-2",2013-01-21,43.3,"1000"
2,3,"3-2",2013-05-06,108.2,"1000"
2,3,"3-2",2013-04-02,90.6,"1000"
2,3,"3-2",2013-03-18,81.3,"1000"
2,3,"3-2",2013-03-25,86.5,"1000"
2,3,"3-2",2013-04-15,100.2,"1000"
2,3,"3-2",2013-02-18,50.7,"1000"
2,3,"3-2",2013-04-08,96.2,"1000"
2,4,"4-2",2013-02-11,47.4,"10"
2,4,"4-2",2013-03-11,62.5,"10"
2,4,"4-2",2013-03-18,65.3,"10"
2,4,"4-2",2013-04-08,65.1,"10"
2,4,"4-2",2013-03-04,62.5,"10"
2,4,"4-2",2013-04-22,64,"10"
2,4,"4-2",2013-04-15,65,"10"
2,4,"4-2",2013-02-03,49.9,"10"
2,4,"4-2",2013-02-25,62,"10"
2,4,"4-2",2013-02-18,60,"10"
2,4,"4-2",2013-05-13,64,"10"
2,4,"4-2",2013-05-06,64,"10"
2,4,"4-2",2013-04-02,65.7,"10"
2,4,"4-2",2013-03-25,65,"10"
2,4,"4-2",2013-05-21,64.5,"10"
2,4,"4-2",2013-04-29,64,"10"
2,4,"4-2",2013-01-21,44.3,"10"
2,4,"4-2",2013-01-29,47.2,"10"
2,5,"5-2",2013-01-29,48.4,"25"
2,5,"5-2",2013-02-03,52.2,"25"
2,5,"5-2",2013-05-13,67,"25"
2,5,"5-2",2013-02-18,60.3,"25"
2,5,"5-2",2013-04-08,66,"25"
2,5,"5-2",2013-05-21,67,"25"
2,5,"5-2",2013-03-04,64.9,"25"
2,5,"5-2",2013-02-11,58.8,"25"
2,5,"5-2",2013-04-22,66.5,"25"
2,5,"5-2",2013-01-21,45.5,"25"
2,5,"5-2",2013-03-18,65.7,"25"
2,5,"5-2",2013-02-25,63.3,"25"
2,5,"5-2",2013-05-06,67,"25"
2,5,"5-2",2013-04-02,66,"25"
2,5,"5-2",2013-03-11,65.7,"25"
2,5,"5-2",2013-03-25,66.7,"25"
2,5,"5-2",2013-04-15,66,"25"
2,5,"5-2",2013-04-29,67.1,"25"
2,7,"7-2",2013-03-25,83.9,"1000"
2,7,"7-2",2013-04-08,96.5,"1000"
2,7,"7-2",2013-04-15,99.5,"1000"
2,7,"7-2",2013-03-18,75.7,"1000"
2,7,"7-2",2013-04-02,92.6,"1000"
2,7,"7-2",2013-01-21,44.8,"1000"
2,7,"7-2",2013-02-25,57.5,"1000"
2,7,"7-2",2013-04-29,102.7,"1000"
2,7,"7-2",2013-01-29,45.3,"1000"
2,7,"7-2",2013-02-03,47.2,"1000"
2,7,"7-2",2013-02-11,50.5,"1000"
2,7,"7-2",2013-03-11,66.1,"1000"
2,7,"7-2",2013-05-21,106.6,"1000"
2,7,"7-2",2013-02-18,53.9,"1000"
2,7,"7-2",2013-04-22,100.8,"1000"
2,7,"7-2",2013-03-04,60,"1000"
2,7,"7-2",2013-05-06,104,"1000"
2,7,"7-2",2013-05-13,105.3,"1000"
3,2,"2-3",2013-04-08,95.1,"1000"
