"ID","plot","pot","campaign","type","area","mass","volume","Date","sla","massarea"
"1-1",1,1,1,"Amax",29.23,0.23,"10",2013-03-07,0.0127086956521739,78.6862812179268
"1-1",1,1,2,"Amax",30.28,0.29,"10",2013-03-22,0.0104413793103448,95.7727873183619
"1-1",1,1,3,"Amax",18.945,0.21,"10",2013-04-08,0.00902142857142857,110.847189231987
"1-1",1,1,4,"Amax",24.72,0.3,"10",2013-04-17,0.00824,121.359223300971
"1-1",1,1,6,"Amax",28.65,0.39,"10",2013-05-16,0.00734615384615385,136.125654450262
"1-2",1,2,1,"Amax",14.05,0.1,"15",2013-03-07,0.01405,71.1743772241993
"1-2",1,2,2,"Amax",19.65,0.16,"15",2013-03-22,0.01228125,81.4249363867685
"1-2",1,2,3,"Amax",21.425,0.21,"15",2013-04-08,0.010202380952381,98.0163360560093
"1-2",1,2,4,"Amax",19.72,0.19,"15",2013-04-17,0.0103789473684211,96.3488843813387
"1-2",1,2,5,"Amax",24.24,0.33,"15",2013-05-01,0.00734545454545455,136.138613861386
"1-2",1,2,6,"Amax",14.83,0.19,"15",2013-05-16,0.00780526315789474,128.118678354686
"1-4",1,4,1,"Amax",14.62,0.13,"20",2013-03-07,0.0112461538461538,88.9192886456909
"1-4",1,4,2,"Amax",14.24,0.13,"20",2013-03-22,0.0109538461538462,91.2921348314607
"1-4",1,4,3,"Amax",13.97,0.155,"20",2013-04-08,0.00901290322580645,110.952040085898
"1-4",1,4,4,"Amax",15.92,0.18,"20",2013-04-17,0.00884444444444444,113.065326633166
"1-4",1,4,5,"Amax",19.99,0.26,"20",2013-05-01,0.00768846153846154,130.065032516258
"1-4",1,4,6,"Amax",19.25,0.21,"20",2013-05-16,0.00916666666666667,109.090909090909
"1-5",1,5,1,"Amax",21.37,0.15,"1000",2013-03-07,0.0142466666666667,70.1918577445016
"1-5",1,5,2,"Amax",50.11,0.42,"1000",2013-03-22,0.0119309523809524,83.8156056675314
"1-5",1,5,3,"Amax",32.95,0.315,"1000",2013-04-08,0.0104603174603175,95.5993930197268
"1-5",1,5,4,"Amax",35.3,0.34,"1000",2013-04-17,0.0103823529411765,96.3172804532578
"1-5",1,5,5,"Amax",27.54,0.28,"1000",2013-05-01,0.00983571428571428,101.670297748729
"1-5",1,5,6,"Amax",34.06,0.39,"1000",2013-05-16,0.00873333333333333,114.503816793893
"1-6",1,6,1,"Amax",20.54,0.21,"25",2013-03-07,0.00978095238095238,102.239532619279
"1-6",1,6,2,"Amax",11.3,0.12,"25",2013-03-22,0.00941666666666667,106.194690265487
"1-6",1,6,3,"Amax",12.71,0.15,"25",2013-04-08,0.00847333333333333,118.01730920535
"1-6",1,6,4,"Amax",13.45,0.17,"25",2013-04-17,0.00791176470588235,126.39405204461
"1-6",1,6,5,"Amax",11.23,0.14,"25",2013-05-01,0.00802142857142857,124.6660730187
"1-6",1,6,6,"Amax",12.28,0.15,"25",2013-05-16,0.00818666666666667,122.14983713355
"1-7",1,7,1,"Amax",35.48,0.21,"35",2013-03-07,0.0168952380952381,59.1882750845547
"1-7",1,7,2,"Amax",29.47,0.22,"35",2013-03-22,0.0133954545454545,74.6521886664405
"1-7",1,7,3,"Amax",26.48,0.24,"35",2013-04-08,0.0110333333333333,90.6344410876133
"1-7",1,7,4,"Amax",31.39,0.29,"35",2013-04-17,0.0108241379310345,92.3861102261867
"1-7",1,7,5,"Amax",33.75,0.36,"35",2013-05-01,0.009375,106.666666666667
"1-7",1,7,6,"Amax",26.52,0.27,"35",2013-05-16,0.00982222222222222,101.809954751131
"1-8",1,8,1,"Amax",20.64,0.2,"5",2013-03-07,0.01032,96.8992248062015
