"ID","starch_mgperg","sugars_mgperg","volume","campaign","Date","starch","sugars","tnc"
"'1-1",55.21176471,70.40215686,"10",1,2013-03-07,0.05521176471,0.07040215686,0.12561392157
"'1-1",152.129771,52.51820945,"10",2,2013-03-22,0.152129771,0.05251820945,0.20464798045
"'1-1",112.1007195,84.55801619,"10",3,2013-04-08,0.1121007195,0.08455801619,0.19665873569
"'1-1",59.58445946,61.41659411,"10",4,2013-04-17,0.05958445946,0.06141659411,0.12100105357
"'1-1",57.49315068,85.25548021,"10",6,2013-05-16,0.05749315068,0.08525548021,0.14274863089
"'1-2",45.20792079,90.30022647,"15",2,2013-03-22,0.04520792079,0.09030022647,0.13550814726
"'1-2",48.46768049,84.57841088,"15",3,2013-04-08,0.04846768049,0.08457841088,0.13304609137
"'1-2",108.5888889,61.50327531,"15",4,2013-04-17,0.1085888889,0.06150327531,0.17009216421
"'1-2",77.27631579,74.63765899,"15",5,2013-05-01,0.07727631579,0.07463765899,0.15191397478
"'1-2",70.12844037,76.22965214,"15",6,2013-05-16,0.07012844037,0.07622965214,0.14635809251
"'1-4",146.0560345,67.69758621,"20",1,2013-03-07,0.1460560345,0.06769758621,0.21375362071
"'1-4",195.1797753,53.39920365,"20",2,2013-03-22,0.1951797753,0.05339920365,0.24857897895
"'1-4",164.7479999,72.746484,"20",3,2013-04-08,0.1647479999,0.072746484,0.2374944839
"'1-4",155.1232394,43.2252993,"20",4,2013-04-17,0.1551232394,0.0432252993,0.1983485387
"'1-4",97.45754717,67.57385613,"20",5,2013-05-01,0.09745754717,0.06757385613,0.1650314033
"'1-4",86.80788177,66.34627094,"20",6,2013-05-16,0.08680788177,0.06634627094,0.15315415271
"'1-5",83.556,70.74141333,"free",1,2013-03-07,0.083556,0.07074141333,0.15429741333
"'1-5",143.8613445,81.44433561,"free",2,2013-03-22,0.1438613445,0.08144433561,0.22530568011
"'1-5",143.1119135,90.4635704,"free",3,2013-04-08,0.1431119135,0.0904635704,0.2335754839
"'1-5",111.6984733,46.89790458,"free",4,2013-04-17,0.1116984733,0.04689790458,0.15859637788
"'1-5",129.5416667,65.82484954,"free",5,2013-05-01,0.1295416667,0.06582484954,0.19536651624
"'1-5",108.2226563,61.78922819,"free",6,2013-05-16,0.1082226563,0.06178922819,0.17001188449
"'1-6",189.4302326,48.87060724,"25",1,2013-03-07,0.1894302326,0.04887060724,0.23830083984
"'1-6",168.6533333,49.43417278,"25",2,2013-03-22,0.1686533333,0.04943417278,0.21808750608
"'1-6",151.5473684,65.16223158,"25",3,2013-04-08,0.1515473684,0.06516223158,0.21670959998
"'1-6",115.2738095,62.97555159,"25",4,2013-04-17,0.1152738095,0.06297555159,0.17824936109
"'1-6",147.4166667,65.11986111,"25",5,2013-05-01,0.1474166667,0.06511986111,0.21253652781
"'1-6",124.3469388,90.35800442,"25",6,2013-05-16,0.1243469388,0.09035800442,0.21470494322
"'1-7",7.390510949,76.94760341,"35",1,2013-03-07,0.007390510949,0.07694760341,0.084338114359
"'1-7",92.49382716,51.87673868,"35",2,2013-03-22,0.09249382716,0.05187673868,0.14437056584
"'1-7",119.2374581,79.6482291,"35",3,2013-04-08,0.1192374581,0.0796482291,0.1988856872
"'1-7",85.08097166,58.51853576,"35",4,2013-04-17,0.08508097166,0.05851853576,0.14359950742
"'1-7",64.11267606,64.64926056,"35",5,2013-05-01,0.06411267606,0.06464926056,0.12876193662
"'1-7",66.31279621,82.71709479,"35",6,2013-05-16,0.06631279621,0.08271709479,0.149029891
"'1-8",201.6512456,51.90166074,"05",1,2013-03-07,0.2016512456,0.05190166074,0.25355290634
"'1-8",209.5893536,44.08211549,"05",2,2013-03-22,0.2095893536,0.04408211549,0.25367146909
"'1-8",150.1378092,61.87776678,"05",3,2013-04-08,0.1501378092,0.06187776678,0.21201557598
"'1-8",159.2599278,60.34219856,"05",4,2013-04-17,0.1592599278,0.06034219856,0.21960212636
"'1-8",102.8275862,67.92147515,"05",5,2013-05-01,0.1028275862,0.06792147515,0.17074906135
"'1-8",108.0728155,83.23485639,"05",6,2013-05-16,0.1080728155,0.08323485639,0.19130767189
"'2-1",138.5639098,53.35706767,"20",1,2013-03-07,0.1385639098,0.05335706767,0.19192097747
"'2-1",117.761194,73.7331264,"20",2,2013-03-22,0.117761194,0.0737331264,0.1914943204
"'2-1",98.87307681,98.87685,"20",3,2013-04-08,0.09887307681,0.09887685,0.19774992681
"'2-1",79.10227273,68.9181452,"20",4,2013-04-17,0.07910227273,0.0689181452,0.14802041793
"'2-1",77.18918919,64.2273705,"20",5,2013-05-01,0.07718918919,0.0642273705,0.14141655969
"'2-1",41.72727273,100.420122,"20",6,2013-05-16,0.04172727273,0.100420122,0.14214739473
"'2-2",81.6741573,54.27072409,"15",1,2013-03-07,0.0816741573,0.05427072409,0.13594488139
"'2-2",34.90045249,60.30640175,"15",2,2013-03-22,0.03490045249,0.06030640175,0.09520685424
"'2-2",117.3923076,68.63845155,"15",3,2013-04-08,0.1173923076,0.06863845155,0.18603075915
"'2-2",141.9444444,65.38378642,"15",4,2013-04-17,0.1419444444,0.06538378642,0.20732823082
"'2-2",152.25,61.01464844,"15",5,2013-05-01,0.15225,0.06101464844,0.21326464844
"'2-2",83.23318386,90.02135389,"15",6,2013-05-16,0.08323318386,0.09002135389,0.17325453775
"'2-3",61.09859155,76.46106514,"free",1,2013-03-07,0.06109859155,0.07646106514,0.13755965669
"'2-3",6.253012048,75.23924598,"free",2,2013-03-22,0.006253012048,0.07523924598,0.081492258028
"'2-3",14.14285714,77.1321139,"free",3,2013-04-08,0.01414285714,0.0771321139,0.09127497104
"'2-3",72.70652174,81.78662681,"free",4,2013-04-17,0.07270652174,0.08178662681,0.15449314855
"'2-3",88.29953917,61.35235023,"free",5,2013-05-01,0.08829953917,0.06135235023,0.1496518894
"'2-3",76.8364486,67.89699572,"free",6,2013-05-16,0.0768364486,0.06789699572,0.14473344432
"'2-4",133.40625,60.18959635,"25",1,2013-03-07,0.13340625,0.06018959635,0.19359584635
"'2-4",21.32751092,83.09248087,"25",2,2013-03-22,0.02132751092,0.08309248087,0.10441999179
"'2-4",101.4747083,80.77536187,"25",3,2013-04-08,0.1014747083,0.08077536187,0.18225007017
"'2-4",103,70.00826372,"25",4,2013-04-17,0.103,0.07000826372,0.17300826372
"'2-4",85.72839506,59.15606481,"25",5,2013-05-01,0.08572839506,0.05915606481,0.14488445987
"'2-4",98.6453202,102.9305911,"25",6,2013-05-16,0.0986453202,0.1029305911,0.2015759113
"'2-6",242.8308271,39.49215539,"05",1,2013-03-07,0.2428308271,0.03949215539,0.28232298249
"'2-6",162.8372093,51.55937161,"05",2,2013-03-22,0.1628372093,0.05155937161,0.21439658091
"'2-6",175.7402135,65.8160605,"05",3,2013-04-08,0.1757402135,0.0658160605,0.241556274
"'2-6",156.5267176,60.32823791,"05",4,2013-04-17,0.1565267176,0.06032823791,0.21685495551
"'2-6",99.89861751,79.01557796,"05",6,2013-05-16,0.09989861751,0.07901557796,0.17891419547
"'2-7",113.2099644,43.47768683,"35",1,2013-03-07,0.1132099644,0.04347768683,0.15668765123
"'2-7",31.38235294,54.01079896,"35",2,2013-03-22,0.03138235294,0.05401079896,0.0853931519
"'2-7",100.4823529,71.08229115,"35",3,2013-04-08,0.1004823529,0.07108229115,0.17156464405
"'2-7",154.294964,63.3266295,"35",4,2013-04-17,0.154294964,0.0633266295,0.2176215935
"'2-7",120.483871,69.11276498,"35",5,2013-05-01,0.120483871,0.06911276498,0.18959663598
"'2-7",153.9782609,85.6627163,"35",6,2013-05-16,0.1539782609,0.0856627163,0.2396409772
"'2-8",151.8987342,43.26063291,"10",1,2013-03-07,0.1518987342,0.04326063291,0.19515936711
"'2-8",138.8333333,40.29058073,"10",2,2013-03-22,0.1388333333,0.04029058073,0.17912391403
"'2-8",115.4285714,77.96888095,"10",3,2013-04-08,0.1154285714,0.07796888095,0.19339745235
"'2-8",111.8358779,49.06223791,"10",4,2013-04-17,0.1118358779,0.04906223791,0.16089811581
"'2-8",52.81463415,74.31631098,"10",5,2013-05-01,0.05281463415,0.07431631098,0.12713094513
"'2-8",51.02620087,81.88408515,"10",6,2013-05-16,0.05102620087,0.08188408515,0.13291028602
"'3-1",217.5461538,39.91138462,"05",1,2013-03-07,0.2175461538,0.03991138462,0.25745753842
"'3-1",108.1428571,48.67436959,"05",2,2013-03-22,0.1081428571,0.04867436959,0.15681722669
"'3-1",198.9054547,56.32742727,"05",3,2013-04-08,0.1989054547,0.05632742727,0.25523288197
"'3-1",146.9776119,58.55723259,"05",4,2013-04-17,0.1469776119,0.05855723259,0.20553484449
"'3-1",94.99078341,69.25724078,"05",5,2013-05-01,0.09499078341,0.06925724078,0.16424802419
"'3-1",92.31308411,97.99244743,"05",6,2013-05-16,0.09231308411,0.09799244743,0.19030553154
"'3-2",93.24896266,73.4769018,"free",1,2013-03-07,0.09324896266,0.0734769018,0.16672586446
"'3-2",38.51694915,85.97586117,"free",2,2013-03-22,0.03851694915,0.08597586117,0.12449281032
"'3-2",82.88602941,75.81807353,"free",3,2013-04-08,0.08288602941,0.07581807353,0.15870410294
"'3-2",74.45084746,81.57280113,"free",4,2013-04-17,0.07445084746,0.08157280113,0.15602364859
"'3-2",116.6603774,63.09510613,"free",5,2013-05-01,0.1166603774,0.06309510613,0.17975548353
"'3-2",89.23222749,94.28258254,"free",6,2013-05-16,0.08923222749,0.09428258254,0.18351481003
"'3-3",167.9315589,56.02623574,"25",1,2013-03-07,0.1679315589,0.05602623574,0.22395779464
"'3-3",150.0113636,41.22678598,"25",2,2013-03-22,0.1500113636,0.04122678598,0.19123814958
"'3-3",125.6519999,71.396058,"25",3,2013-04-08,0.1256519999,0.071396058,0.1970480579
"'3-3",102.3240418,65.10919512,"25",4,2013-04-17,0.1023240418,0.06510919512,0.16743323692
"'3-3",124.2426778,83.12080021,"25",5,2013-05-01,0.1242426778,0.08312080021,0.20736347801
"'3-3",96.14018692,88.23493769,"25",6,2013-05-16,0.09614018692,0.08823493769,0.18437512461
"'3-4",121.110687,38.17033079,"20",1,2013-03-07,0.121110687,0.03817033079,0.15928101779
"'3-4",88.57959184,44.68481786,"20",2,2013-03-22,0.08857959184,0.04468481786,0.1332644097
"'3-4",92.20077208,83.8146139,"20",3,2013-04-08,0.09220077208,0.0838146139,0.17601538598
"'3-4",39.4047619,63.51202778,"20",4,2013-04-17,0.0394047619,0.06351202778,0.10291678968
"'3-4",48.08823529,83.80660586,"20",6,2013-05-16,0.04808823529,0.08380660586,0.13189484115
"'3-5",153.6579926,58.02228005,"35",1,2013-03-07,0.1536579926,0.05802228005,0.21168027265
"'3-5",94.41176471,67.09780931,"35",2,2013-03-22,0.09441176471,0.06709780931,0.16150957402
"'3-5",40.03278689,67.50283743,"35",4,2013-04-17,0.04003278689,0.06750283743,0.10753562432
"'3-5",140.025,61.61828125,"35",5,2013-05-01,0.140025,0.06161828125,0.20164328125
"'3-5",161.7619048,91.14254894,"35",6,2013-05-16,0.1617619048,0.09114254894,0.25290445374
"'3-6",94.00352113,55.48776995,"10",1,2013-03-07,0.09400352113,0.05548776995,0.14949129108
"'3-6",15.55405405,67.87953276,"10",2,2013-03-22,0.01555405405,0.06787953276,0.08343358681
"'3-6",87.27058835,43.11498235,"10",3,2013-04-08,0.08727058835,0.04311498235,0.1303855707
"'3-6",197.9895105,55.58086131,"10",4,2013-04-17,0.1979895105,0.05558086131,0.25357037181
"'3-6",30.88317757,63.51001168,"10",5,2013-05-01,0.03088317757,0.06351001168,0.09439318925
