"TOA5","ROS_WS","CR3000","4909","CR3000.Std.11","CPU:weather_station_final.CR3","30238","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max"
"TS","RN","Volts","Deg C"
"","","Min","Max"
"2013-04-30 00:00:30",2550196,13.03,15.52
"2013-04-30 00:01:00",2550197,13.04,15.5
"2013-04-30 00:01:30",2550198,13.03,15.49
"2013-04-30 00:02:00",2550199,13.04,15.47
"2013-04-30 00:02:30",2550200,13.03,15.46
"2013-04-30 00:03:00",2550201,13.04,15.45
"2013-04-30 00:03:30",2550202,13.03,15.43
"2013-04-30 00:04:00",2550203,13.04,15.42
"2013-04-30 00:04:30",2550204,13.03,15.4
"2013-04-30 00:05:00",2550205,13.04,15.39
"2013-04-30 00:05:30",2550206,13.03,15.38
"2013-04-30 00:06:00",2550207,13.04,15.37
"2013-04-30 00:06:30",2550208,13.03,15.35
"2013-04-30 00:07:00",2550209,13.04,15.34
"2013-04-30 00:07:30",2550210,13.03,15.32
"2013-04-30 00:08:00",2550211,13.04,15.31
"2013-04-30 00:08:30",2550212,13.03,15.3
"2013-04-30 00:09:00",2550213,13.04,15.28
"2013-04-30 00:09:30",2550214,13.03,15.27
"2013-04-30 00:10:00",2550215,13.04,15.26
"2013-04-30 00:10:30",2550216,13.03,15.25
"2013-04-30 00:11:00",2550217,13.04,15.23
"2013-04-30 00:11:30",2550218,13.03,15.22
"2013-04-30 00:12:00",2550219,13.04,15.21
"2013-04-30 00:12:30",2550220,13.03,15.19
"2013-04-30 00:13:00",2550221,13.04,15.18
"2013-04-30 00:13:30",2550222,13.03,15.17
"2013-04-30 00:14:00",2550223,13.04,15.15
"2013-04-30 00:14:30",2550224,13.03,15.14
"2013-04-30 00:15:00",2550225,13.05,15.13
"2013-04-30 00:15:30",2550226,13.03,15.11
"2013-04-30 00:16:00",2550227,13.04,15.1
"2013-04-30 00:16:30",2550228,13.03,15.09
"2013-04-30 00:17:00",2550229,13.04,15.08
"2013-04-30 00:17:30",2550230,13.03,15.06
"2013-04-30 00:18:00",2550231,13.04,15.05
"2013-04-30 00:18:30",2550232,13.03,15.03
"2013-04-30 00:19:00",2550233,13.04,15.02
"2013-04-30 00:19:30",2550234,13.03,15.01
"2013-04-30 00:20:00",2550235,13.04,15
"2013-04-30 00:20:30",2550236,13.03,14.98
