plot,pot,Base (Time 0),1/21/2013,1/29/2013,02/03/2013,02/11/2013,2/18/2013,2/25/2013,03/04/2013,03/11/2013,03/18/2013,03/25/2013,04/02/2013,04/08/2013,04/15/2013,04/22/2013,04/29/2013,05/06/2013,05/13/2013,05/21/2013
1,1,4.9,3.2,3.5,3.8,4.6,4.4,5.3,5.3,5.7,5.8,6,5.9,6.3,6.5,6.4,6.4,6.4,6.4,6.4
1,2,7,3.6,3.7,3.5,4.8,4.2,4.6,5,5.7,5.5,6.3,6.2,6.4,6.3,6.5,6.8,6.9,6.9,6.9
1,3,,,,,,,,,,,,,,,,,,,
1,4,5.1,2.8,3.1,3.3,3.6,4,4.2,4.5,5.2,4.9,5.5,5.9,6.1,6.4,6.4,6.6,6.7,6.7,6.7
1,5,4.9,2.8,3.4,3.4,4.1,4.1,4.4,5.3,6.7,7.1,9,9.8,10.2,10.9,12.3,13,13.3,13.8,13.8
1,6,5,2.8,2.7,3.3,3.9,3.9,4.3,5.4,5.5,6,6.3,6,6.4,6.5,6.7,6.7,7,7,7
1,7,5.1,2.8,3.4,3.8,4.1,4.1,4.7,5.2,6.3,6.7,7.5,8.3,8.7,9.2,9.5,9.9,10.8,11,11
1,8,4.7,2.8,3.5,4.2,4.3,4.8,5.5,5.3,6.3,6.9,6.6,6.6,6.7,6.9,7,7,7,7,7
2,1,4.9,2.8,3.2,3.1,3.6,3.9,4.1,5.2,6.2,6.1,6.7,7,7.2,7.4,7.4,7.4,7.5,7.7,7.7
2,2,4.7,2.8,3.1,3.2,3.6,4,4.2,5.3,5.9,6.1,6.4,6.8,7,7.1,7.1,7.3,7.3,7.3,7.3
2,3,5,2.8,3.1,3.2,3.8,3.6,4.2,5.3,6,6.4,7.8,9.1,10.4,11.5,12.3,13.1,14,14.7,15
2,4,6.5,3.5,3.9,4.1,4.3,4.5,4.7,5.2,6.2,6.2,6.9,7.5,7.8,8.2,8.7,8.5,8.9,9.3,9.3
2,5,,,,,,,,,,,,,,,,,,,
