plot,pot,1/21/2013,1/29/2013,02/03/2013,02/11/2013,2/18/2013,2/25/2013,03/04/2013,03/11/2013,03/18/2013,03/25/2013,04/02/2013,04/08/2013,04/15/2013,04/22/2013,04/29/2013,05/06/2013,05/13/2013,05/21/2013
1,1,48,49.1,52.7,60.5,64.8,67.3,69.1,70.5,72.4,73.6,73.7,74.7,74.2,74.7,74.6,74.6,74.6,75.6
1,2,43.4,43.8,44.3,50.4,54.2,59.7,62.4,66.4,67.5,70.5,73,74.3,74.3,75,75.1,74.9,75,75
1,3,,,,,,,,,,,,,,,,,,
1,4,39.5,41,42.5,47.8,50,51,53.7,55.6,58,62,67.4,67.8,70.7,72.2,71,72.6,72.6,72.6
1,5,37.8,38,38.5,42,47,53,62.4,70.2,77.5,85,90.7,90.8,93,94,95.5,95.5,98,98
1,6,46.1,48.6,51,56.8,59.1,60.9,64.5,62.2,64,67,69.2,69.3,70.4,70.6,70.7,71.2,71.6,71.8
1,7,41,55,56.2,59,63.1,71.2,77.8,85,92.2,99.7,106.6,110.5,112.8,114.1,114.1,115,115.5,115.8
1,8,41.2,44.2,47.2,51.6,53.6,57,56.3,57.5,59.3,61.6,63.2,64.9,66,66.3,67,67,67,67
2,1,49.1,47.9,48.5,51.5,61.1,70.5,74.3,77.5,79.7,80.5,79,82,81.2,81.5,81.4,81.4,81.4,81.4
2,2,46.7,49.2,51.5,58,60.1,64.6,66,68.5,69.5,70.1,70.2,69.8,69.8,70,70,70,70,70
2,3,37.1,37,36.5,38.4,43,52.1,58,64.7,74.6,82,89.2,95.1,100.1,103.5,106.6,108.8,111.5,113.7
2,4,55.6,56.5,51.5,51.3,54.5,64,71.6,77.5,83,80.5,81.3,81,81.8,81.8,81.2,81.5,81.5,81.5
2,5,,,,,,,,,,,,,,,,,,
2,6,45.3,47.2,48.7,52.9,58,60.8,62.5,64.1,66,66.5,66.3,67.3,66.8,66.8,66.9,66.9,67.3,67.3
2,7,35,37.5,47.5,47.6,47,40.4,49.3,53,59,66,70.4,73.5,74.9,75.5,76.1,76.3,76.5,76.5
2,8,44.2,46.5,51,56.3,60.1,63.2,65,66.1,67.8,67.4,66.5,68,67.8,65.8,65.5,65.5,68,68
3,1,40.1,41.4,42.1,43.9,49,53.2,51,50.6,57.2,56.1,56.7,57.1,56.7,57,56.6,57.4,57,57
3,2,43.3,44.3,45,47.2,50.7,58.8,65.5,73,81.3,86.5,90.6,96.2,100.2,102.4,106.2,108.2,109.6,110.5
3,3,44,45.1,47.3,54,62,60.1,66.5,63.5,68.2,67.4,70,71,72.1,73.3,73,73,73.5,74.4
3,4,40.4,42.3,46.1,53.5,57.4,60.5,62.2,63.1,64.3,65,66,66.4,66.5,67.9,69.8,73.5,76.8,79.1
3,5,40.2,39.7,40,46.5,53.5,57.9,62.3,66.1,70.7,74,76.2,78.5,78.6,78.5,78.4,78.4,78.4,78.6
3,6,45.4,46.6,48.2,55,59.2,62.5,67.4,70.5,72,72,72.1,72.9,72.4,72.1,72.1,72.3,72.5,73.5
