plot,pot,campaign,type,area,mass
1,1,1,Amax,29.23,0.23
1,2,1,Amax,14.05,0.1
1,4,1,Amax,14.62,0.13
1,5,1,Amax,21.37,0.15
1,6,1,Amax,20.54,0.21
1,7,1,Amax,35.48,0.21
1,8,1,Amax,20.64,0.2
2,1,1,Amax,36.1,0.25
2,2,1,Amax,21.8,0.16
2,3,1,Amax,52,0.29
2,4,1,Amax,40.2,0.25
2,6,1,Amax,30.1,0.32
2,7,1,Amax,20.9,0.28
2,8,1,Amax,24.7,0.24
3,1,1,Amax,10.5,0.13
3,2,1,Amax,32.3,0.18
3,3,1,Amax,38.4,0.38
3,4,1,Amax,32,0.31
3,5,1,Amax,35.5,0.31
3,6,1,Amax,35.6,0.32
3,7,1,Amax,10.1,0.13
4,1,1,Amax,34.74,0.24
4,2,1,Amax,25.39,0.2
4,4,1,Amax,20.88,0.15
4,5,1,Amax,20.9,0.18
4,6,1,Amax,30.23,0.17
4,7,1,Amax,13.4,0.12
4,8,1,Amax,38.5,0.23
5,2,1,Amax,19,0.16
5,3,1,Amax,13.9,0.15
5,4,1,Amax,13.3,0.08
5,5,1,Amax,21,0.25
5,6,1,Amax,40.5,0.23
5,7,1,Amax,30.2,0.19
5,8,1,Amax,13.5,0.08
6,1,1,Amax,40.2,0.25
6,3,1,Amax,27.1,0.21
6,4,1,Amax,15.9,0.13
6,5,1,Amax,31.2,0.25
6,6,1,Amax,30.5,0.23
6,7,1,Amax,23.7,0.19
6,8,1,Amax,27.3,0.16
7,1,1,Amax,18.5,0.13
7,2,1,Amax,22,0.15
7,3,1,Amax,9.1,0.06
7,4,1,Amax,16.7,0.21
7,5,1,Amax,18.6,0.18
7,6,1,Amax,19.7,0.18
7,8,1,Amax,29.9,0.21
1,1,2,Amax,30.28,0.29
1,2,2,Amax,19.65,0.16
1,4,2,Amax,14.24,0.13
1,5,2,Amax,50.11,0.42
1,6,2,Amax,11.3,0.12
1,7,2,Amax,29.47,0.22
1,8,2,Amax,17.245,0.15
2,1,2,Amax,35.91,0.29
2,2,2,Amax,23.73,0.22
2,3,2,Amax,77.71,0.52
2,4,2,Amax,48.13,0.39
2,6,2,Amax,37.27,0.4
2,7,2,Amax,18.87,0.1
2,8,2,Amax,15.53,0.15
3,1,2,Amax,9.68,0.08
3,2,2,Amax,38.17,0.23
3,3,2,Amax,39.02,0.36
3,4,2,Amax,15.98,0.16
3,5,2,Amax,29.6,0.3
3,6,2,Amax,15.73,0.14
3,7,2,Amax,9.64,0.09
4,1,2,Amax,35.18,0.27
4,2,2,Amax,20,0.17
4,4,2,Amax,20.21,0.16
4,5,2,Amax,19,0.19
4,6,2,Amax,24.34,0.15
4,7,2,Amax,12.36,0.1
4,8,2,Amax,25.18,0.16
5,2,2,Amax,15.6,0.13
5,3,2,Amax,11.29,0.12
5,4,2,Amax,21.54,0.14
5,5,2,Amax,12.28,0.15
5,6,2,Amax,49.87,0.31
5,7,2,Amax,35.98,0.25
5,8,2,Amax,16.84,0.17
6,1,2,Amax,50.68,0.41
6,3,2,Amax,27.14,0.26
6,4,2,Amax,22.27,0.21
6,5,2,Amax,25.21,0.2
6,6,2,Amax,18.74,0.14
6,7,2,Amax,23.8,0.27
6,8,2,Amax,37.94,0.26
7,1,2,Amax,24.56,0.21
7,2,2,Amax,32.72,0.22
7,3,2,Amax,9.46,0.06
7,4,2,Amax,9.28,0.1
7,5,2,Amax,16.94,0.2
7,6,2,Amax,19.72,0.22
7,8,2,Amax,32.13,0.24
1,1,3,Amax,18.945,0.21
1,2,3,Amax,21.425,0.21
1,4,3,Amax,13.97,0.155
1,5,3,Amax,32.95,0.315
1,6,3,Amax,12.71,0.15
1,7,3,Amax,26.48,0.24
1,8,3,Amax,11.615,0.13
2,1,3,Amax,29.68,0.27
2,2,3,Amax,19.615,0.21
2,3,3,Amax,50.345,0.34
2,4,3,Amax,24.44,0.24
2,6,3,Amax,26.48,0.305
2,7,3,Amax,42.56,0.29
2,8,3,Amax,18.61,0.19
3,1,3,Amax,9.995,0.09
3,2,3,Amax,36.79,0.25
3,3,3,Amax,16.105,0.19
3,4,3,Amax,15.905,0.18
3,5,3,Amax,22.765,0.245
3,6,3,Amax,15.455,0.165
3,7,3,Amax,15.645,0.09
4,1,3,Amax,16.115,0.155
4,2,3,Amax,16.79,0.155
4,4,3,Amax,13.665,0.13
4,5,3,Amax,16.18,0.18
4,6,3,Amax,33.46,0.26
4,7,3,Amax,13.015,0.165
4,8,3,Amax,31.155,0.26
5,2,3,Amax,14.65,0.13
5,3,3,Amax,13.305,0.155
5,4,3,Amax,14.885,0.115
5,5,3,Amax,13.41,0.155
5,6,3,Amax,27.855,0.195
5,7,3,Amax,27.115,0.21
5,8,3,Amax,13.04,0.15
6,1,3,Amax,47.43,0.44
6,3,3,Amax,11.8,0.15
6,4,3,Amax,23.825,0.255
6,5,3,Amax,21.24,0.21
6,6,3,Amax,19.57,0.225
6,7,3,Amax,19.4505,0.23
6,8,3,Amax,24.89,0.165
7,1,3,Amax,18.865,0.185
7,2,3,Amax,22.77,0.15
7,3,3,Amax,7.74,0.06
7,4,3,Amax,15.655,0.155
7,5,3,Amax,16.045,0.205
7,6,3,Amax,8.925,0.09
7,8,3,Amax,22.72,0.235
1,1,4,Amax,24.72,0.3
1,2,4,Amax,19.72,0.19
1,4,4,Amax,15.92,0.18
1,5,4,Amax,35.3,0.34
1,6,4,Amax,13.45,0.17
1,7,4,Amax,31.39,0.29
1,8,4,Amax,13.42,0.12
2,1,4,Amax,29.82,0.31
2,2,4,Amax,20.03,0.24
2,3,4,Amax,45.42,0.33
2,4,4,Amax,23.08,0.25
2,6,4,Amax,17,0.19
2,7,4,Amax,35.94,0.31
2,8,4,Amax,23.42,0.31
3,1,4,Amax,12.35,0.13
3,2,4,Amax,33.97,0.27
3,3,4,Amax,19.56,0.25
3,4,4,Amax,20.33,0.24
3,5,4,Amax,17.31,0.21
3,6,4,Amax,18.29,0.18
3,7,4,Amax,14.25,0.08
