ID,mass,abs510
0,,0.0002
0,,-0.0019
0,,-0.0013
100,,1.1217
100,,1.0999
100,,1.053
'1-1,27.8,0.3143
'1-1,27.8,0.3718
'1-1,27.8,0.3527
'1-2,26.3,0.1445
'1-2,26.3,0.1392
'1-2,26.3,0.1412
'1-4,25,0.4497
'1-4,25,0.4665
'1-4,25,0.4567
'1-5,27.7,0.4384
'1-5,27.7,0.4389
'1-5,27.7,0.4441
'1-6,28.5,0.4714
'1-6,28.5,0.4727
'1-6,28.5,0.4956
'1-7,29.9,0.3973
'1-7,29.9,0.3863
'1-7,29.9,0.4048
'1-8,28.3,0.4738
'1-8,28.3,0.4684
'1-8,28.3,0.4741
'2-1,26,0.2712
'2-1,26,0.2922
'2-1,26,0.2935
'2-2,26,0.333
'2-2,26,0.3318
'2-2,26,0.3526
'2-3,25.9,0.0427
'2-3,25.9,0.0399
'2-3,25.9,0.0395
'2-4,25.7,0.2815
'2-4,25.7,0.2932
'2-4,25.7,0.2946
'2-6,28.1,0.5334
'2-6,28.1,0.5592
'2-6,28.1,0.5535
'2-7,25.5,0.274
'2-7,25.5,0.2813
'2-7,25.5,0.2988
'2-8,25.2,0.3254
'2-8,25.2,0.3089
'2-8,25.2,0.3353
'3-1,27.5,0.5944
'3-1,27.5,0.6151
'3-1,27.5,0.6138
'3-2,27.2,0.2509
'3-2,27.2,0.252
'3-2,27.2,0.2486
'3-3,25,0.3442
'3-3,25,0.3469
'3-3,25,0.356
'3-4,25.9,0.2679
'3-4,25.9,0.2716
'3-4,25.9,0.2565
'3-5,26.1,0.608
'3-5,26.1,0.616
'3-5,26.1,0.6179
'3-6,25.5,0.2413
'3-6,25.5,0.2481
'3-6,25.5,0.2524
'3-7,25.2,0.1349
'3-7,25.2,0.1317
'3-7,25.2,0.1342
'4-1,25,0.1569
'4-1,25,0.1661
'4-1,25,0.1627
'4-2,25.8,0.3242
'4-2,25.8,0.3301
'4-2,25.8,0.3263
'4-4,25.6,0.292
'4-4,25.6,0.2871
'4-4,25.6,0.2957
'4-5,25.2,0.438
'4-5,25.2,0.4585
'4-5,25.2,0.4458
'4-6,27.1,0.0667
'4-6,27.1,0.0702
'4-6,27.1,0.0799
'4-7,27.3,0.4359
'4-7,27.3,0.4478
'4-7,27.3,0.4555
'4-8,25.8,0.3057
'4-8,25.8,0.3238
'4-8,25.8,0.3357
'5-2,25.7,0.1641
'5-2,25.7,0.169
'5-2,25.7,0.1772
'5-3,26,0.418
'5-3,26,0.4361
'5-3,26,0.4562
'5-4,26.7,0.0346
'5-4,26.7,0.0365
'5-4,26.7,0.0664
'5-5,26.6,0.1657
'5-5,26.6,0.167
'5-5,26.6,0.1567
'5-6,30,0.1696
'5-6,30,0.1735
'5-6,30,0.1708
'5-7,27.9,0.1369
'5-7,27.9,0.1286
'5-7,27.9,0.1254
'5-8,25.9,0.4182
'5-8,25.9,0.3972
'5-8,25.9,0.4176
'6-1,27,0.2834
'6-1,27,0.2867
'6-1,27,0.2935
'6-3,28,0.3107
'6-3,28,0.3267
'6-3,28,0.3058
'6-4,27.2,0.0769
'6-4,27.2,0.0752
'6-4,27.2,0.0739
'6-5,24.6,0.3277
'6-5,24.6,0.3402
'6-5,24.6,0.3317
'6-6,25.3,0.3092
'6-6,25.3,0.295
'6-6,25.3,0.3046
'6-7,25.6,0.3985
'6-7,25.6,0.4198
'6-7,25.6,0.4084
'6-8,25.2,0.1246
'6-8,25.2,0.1226
'6-8,25.2,0.1265
'7-1,25.5,0.3012
'7-1,25.5,0.3273
'7-1,25.5,0.3105
'7-2,26.5,0.132
'7-2,26.5,0.1331
'7-2,26.5,0.1417
'7-3,25.3,0.2671
'7-3,25.3,0.2829
'7-3,25.3,0.2774
'7-4,25.9,0.1757
'7-4,25.9,0.1773
'7-4,25.9,0.1803
'7-5,29.3,0.5536
'7-5,29.3,0.5942
'7-5,29.3,0.5684
'7-6,26.9,0.5479
'7-6,26.9,0.583
'7-6,26.9,0.5798
